Hour,AVG_base$netload_baseline,AVG_netload_proposed,AVG_ACC_rate,*
1,39.69096774,27.69483871,0.056447563,January
2,39.55774194,27.49451613,0.056620845,January
3,40.08483871,26.96322581,0.057105761,January
4,42.13967742,27.7683871,0.056816896,January
5,43.42419355,28.34935484,0.05626567,January
6,46.97548387,28.48,0.05638788,January
7,47.99677419,24.76677419,0.060026187,January
8,42.02677419,15.95709677,0.063721098,January
9,46.89096774,16.18225806,0.062144816,January
10,42.68741935,2.400645161,0.058989555,January
11,37.17451613,5.513870968,0.058361468,January
12,60.21129032,47.60645161,0.056896486,January
13,42.26645161,32.19032258,0.05572817,January
14,57.63225806,51.8083871,0.05543796,January
15,35.09322581,26.49806452,0.055170092,January
16,34.39225806,18.32774194,0.056602409,January
17,41.08096774,26.24,0.064488854,January
18,45.64451613,24.85096774,0.068364836,January
19,52.63806452,11.03870968,0.068351481,January
20,58.90548387,21.11290323,0.068507107,January
21,55.76387097,17.83903226,0.068951414,January
22,46.76612903,9.853870968,0.066722439,January
23,44.44193548,26.34225806,0.061173968,January
24,39.29419355,28.50129032,0.057359847,January
1,33.90428571,20.54035714,0.052335482,February
2,32.89857143,23.13892857,0.052619961,February
3,29.85,14.28035714,0.051398725,February
4,31.49035714,19.22964286,0.051258173,February
5,29.51785714,19.94678571,0.051651415,February
6,33.89964286,17.87464286,0.052761841,February
7,35.74357143,13.67642857,0.058458732,February
8,38.09142857,21.63678571,0.058728382,February
9,36.26857143,3.286071429,0.04487778,February
10,33.45607143,-12.21428571,0.041825778,February
11,21.52,-15.73607143,0.04067712,February
12,31.85071429,27.43678571,0.040159949,February
13,29.81178571,22.75678571,0.038553221,February
14,63.43392857,63.27964286,0.039504851,February
15,49.48,52.18071429,0.040417168,February
16,28.14107143,8.005357143,0.04377975,February
17,36.04107143,19.93928571,0.061726093,February
18,37.57821429,14.82571429,0.069809032,February
19,55.12928571,22.56321429,0.066954812,February
20,38.05821429,-24.38785714,0.066438227,February
21,32.73714286,-34.61928571,0.066286876,February
22,47.62357143,20.18357143,0.067146761,February
23,48.26107143,28.60928571,0.060621896,February
24,36.28857143,27.12535714,0.055590912,February
1,33.72387097,24.34483871,0.053039627,March
2,30.0583871,21.51806452,0.054769917,March
3,28.42387097,21.04935484,0.053139902,March
4,28.34451613,20.59677419,0.05224354,March
5,3.819032258,-33.10387097,0.053237837,March
6,11.72548387,-21.71387097,0.055665781,March
7,5.843548387,-27.72548387,0.056810049,March
8,24.42258065,-1.61,0.039680051,March
9,21.60967742,-22.71387097,0.031819655,March
10,13.40709677,-42.73096774,0.030270114,March
11,4.233225806,-46.63258065,0.029781021,March
12,-1.268387097,-51.01,0.028881155,March
13,23.51193548,17.74645161,0.026502343,March
14,48.20870968,45.78645161,0.025356091,March
15,39.03870968,47.71064516,0.025691826,March
16,39.35419355,42.00290323,0.026882197,March
17,28.64774194,9.299032258,0.049265488,March
18,47.91580645,31.23451613,0.068064832,March
19,65.98516129,41.97645161,0.070618104,March
20,63.60451613,32.09225806,0.069704171,March
21,31.04354839,-24.51258065,0.06851674,March
22,43.64032258,25.04,0.064388767,March
23,41.68935484,25.83709677,0.058408556,March
24,30.92,21.08935484,0.055084492,March
1,23.934,17.89533333,0.035948396,April
2,27.36566667,20.74133333,0.034672983,April
3,25.97666667,20.05466667,0.033734126,April
